ID,county,population,area,geometry
06001,Alameda,1622188,738,"POLYGON ((-122.333711 37.809797, -122.303931 37.830087, -122.328714287407 37.8938323463208, -122.27108 37.905824, -122.225876 37.87962, -122.185116 37.837353, -122.177873 37.816323, -122.045473 37.798126, -121.940195 37.723484, -121.850727 37.744942, -121.556997 37.816488, -121.556958 37.703581, -121.556655 37.542732, -121.471925 37.481783, -121.472648 37.48217, -121.855762 37.484537, -121.870115 37.480729, -121.925041 37.454186, -122.059673 37.464087, -122.081473 37.477838, -122.11724 37.506721, -122.129199702224 37.5213219985908, -122.111998 37.528851, -122.144396 37.581866, -122.152905 37.640771, -122.162802507492 37.6672729813177, -122.163049 37.667933, -122.213774 37.698695, -122.24981 37.726406, -122.252452 37.755129, -122.312974 37.777244, -122.333711 37.809797))"
06003,Alpine,1141,739,"POLYGON ((-120.072484 38.509869, -120.072392 38.702767, -119.964948 38.775986, -119.877287 38.870193, -119.904315 38.933324, -119.587679 38.714734, -119.585406144839 38.7131509006712, -119.619066 38.603529, -119.542332 38.481221, -119.639205 38.32688, -119.705385 38.416102, -119.884749 38.356185, -120.019951 38.433521, -120.072566 38.447081, -120.072484 38.509869))"
06005,Amador,41811,606,"POLYGON ((-121.027507 38.508292, -120.812953 38.562209, -120.627604 38.503143, -120.567475 38.507339, -120.317142 38.54511, -120.212787 38.629371, -120.140084 38.638374, -120.077639 38.708887, -120.072392 38.702767, -120.072484 38.509869, -120.205702 38.501039, -120.33104 38.465192, -120.423215 38.473322, -120.614881 38.389408, -120.63129 38.340263, -120.810126 38.28201, -120.892864 38.221574, -120.995497 38.225402, -121.027084 38.300252, -121.027507 38.508292))"
06007,Butte,207172,1640,"POLYGON ((-122.044865 39.883771, -121.804041 39.884344, -121.703241 39.98423, -121.646032 39.982527, -121.586407 40.100522, -121.436886 40.151905, -121.366818 40.086054, -121.41948 40.015766, -121.429957 39.900313, -121.350821 39.825704, -121.210878 39.725651, -121.136715 39.628169, -121.076695 39.597264, -121.149907 39.526446, -121.305122 39.519585, -121.405968 39.340569, -121.569302 39.308357, -121.62376 39.295621, -121.638066 39.305566, -121.908269 39.303878, -121.899109 39.357286, -121.890013 39.383864, -121.856532 39.536904, -121.994021 39.533926, -121.994343 39.671458, -121.947267 39.731202, -122.046471 39.797648, -122.044865 39.883771))"
06009,Calaveras,46565,1020,"POLYGON ((-120.995497 38.225402, -120.892864 38.221574, -120.810126 38.28201, -120.63129 38.340263, -120.614881 38.389408, -120.423215 38.473322, -120.33104 38.465192, -120.205702 38.501039, -120.072484 38.509869, -120.072566 38.447081, -120.019951 38.433521, -120.175915 38.373991, -120.442529 38.058741, -120.462798 38.011927, -120.534276 37.989443, -120.514952 37.95339, -120.653274 37.831858, -120.65343 37.831971, -120.926449 38.077421, -120.942113 38.096328, -120.995497 38.225402))"
06011,Colusa,22037,1151,"POLYGON ((-122.78509 39.382975, -122.739062 39.383266, -122.136006 39.385494, -122.008857 39.413567, -121.890013 39.383864, -121.899109 39.357286, -121.908269 39.303878, -121.945514 39.179843, -121.889101 39.072373, -121.795366 38.995686, -121.835488 38.924481, -122.340172 38.924246, -122.409118 38.962793, -122.413416 39.020218, -122.492023 39.053503, -122.476083 39.172609, -122.680927 39.238726, -122.775043 39.311778, -122.743482 39.36813, -122.78509 39.382975))"
06013,Contra Costa,1155025,720,"POLYGON ((-122.425258 37.955672, -122.367582 37.978168, -122.368891 38.007948, -122.321706 38.01031, -122.262861 38.051473, -122.269320054917 38.0603744975312, -122.123973 38.035717, -121.983158 38.067297, -121.878235 38.049318, -121.862462 38.06603, -121.815673 38.021038, -121.75168 38.024308, -121.673065 38.093518, -121.580022 38.094414, -121.557554 38.017037, -121.579943 37.976113, -121.557583 37.946496, -121.556419 37.923302, -121.572824 37.904301, -121.579503 37.861072, -121.534247 37.849891, -121.556997 37.816488, -121.850727 37.744942, -121.940195 37.723484, -122.045473 37.798126, -122.177873 37.816323, -122.185116 37.837353, -122.225876 37.87962, -122.27108 37.905824, -122.328714287407 37.8938323463208, -122.33453 37.908791, -122.378709 37.905191, -122.425258 37.955672))"
06015,Del Norte,26589,1008,"POLYGON ((-124.219592 41.846432, -124.203402 41.940964, -124.211605 41.99846, -124.001188 41.996146, -123.822037598588 41.995620816947, -123.656998 41.995137, -123.519112836804 41.9991725180329, -123.565442 41.903141, -123.642812 41.889353, -123.703768 41.829117, -123.660205 41.714055, -123.719174 41.595613, -123.648046 41.535024, -123.61179 41.462127, -123.661363 41.38209, -123.770239 41.380776, -123.770551 41.464193, -124.067473659422 41.4647361884909, -124.081987 41.547761, -124.116037 41.628849, -124.143479 41.709284, -124.154246 41.728801, -124.19104 41.736079, -124.245027 41.7923, -124.219592 41.846432))"
06017,El Dorado,192215,1712,"POLYGON ((-121.141595 38.711939, -121.087341 38.833274, -121.060916 38.845613, -121.040406 38.915651, -120.940281 38.962339, -120.858903 38.952256, -120.812295 39.000133, -120.746395 39.010352, -120.642458 38.944404, -120.556321 38.915164, -120.470985 38.965507, -120.43524 39.028397, -120.184098 39.031014, -120.143663 39.067285, -120.001975250867 39.0674958744683, -120.001014 38.999574, -119.904315 38.933324, -119.877287 38.870193, -119.964948 38.775986, -120.072392 38.702767, -120.077639 38.708887, -120.140084 38.638374, -120.212787 38.629371, -120.317142 38.54511, -120.567475 38.507339, -120.627604 38.503143, -120.812953 38.562209, -121.027507 38.508292, -121.04137 38.540745, -121.119049 38.717863, -121.133155 38.705374, -121.141595 38.711939))"
06019,Fresno,1017162,5963,"POLYGON ((-120.65595 36.952832, -120.590566 36.952641, -120.541696 37.044505, -120.450341 36.911172, -120.456246 36.862863, -120.369612 36.810355, -120.370256 36.78494, -120.229179 36.769687, -120.079458 36.825345, -120.027775 36.814505, -119.943507 36.83403, -119.905965 36.850105, -119.813734 36.850412, -119.733852 36.948558, -119.7405 36.970212, -119.549413 37.09402, -119.563187 37.139991, -119.506733 37.150554, -119.470844 37.110548, -119.43306 37.161516, -119.386521 37.14953, -119.330573 37.205791, -119.335189 37.310774, -119.286658 37.374943, -119.022363 37.585737, -118.91706 37.550336, -118.850474 37.475796, -118.775014 37.463052, -118.786736 37.34338, -118.716016 37.328208, -118.654593 37.141826, -118.592661 37.138147, -118.437137 37.059818, -118.360831 36.887734, -118.389758 36.834466, -118.360586 36.744773, -118.982441 36.741646, -119.014425 36.657353, -119.174791 36.658878, -119.304625 36.660606, -119.305102 36.573725, -119.466322 36.575238, -119.573194 36.488835, -119.66629 36.41896, -119.754213 36.402023, -119.959227 36.400975, -119.958925 36.255468, -119.959058 36.181747, -120.315068 35.907186, -120.433053 35.968933, -120.667551 36.138057, -120.62691 36.203227, -120.678582 36.267319, -120.596562 36.328488, -120.597155 36.488235, -120.918731 36.740381, -120.65595 36.952832))"
