ID,recycling location name,address,city,zip,countyID,phone,full address,lat,lon
1,American Recycling,15292 Liberty St,San Leandro,94578,06001,(408) 515-9661,"15292 Liberty St San Leandro, CA 94578",37.7074326,-122.1225176
2,Dos Palos Recycling Co,1565 Olivina Ave,Livermore,94551,06001,(209) 518-4771,"1565 Olivina Ave Livermore, CA 94551",37.6826201,-121.7790726
3,Fry's Metals,1845 W Winton Ave,Hayward,94545,06001,(510) 276-4344,"1845 W Winton Ave Hayward, CA 94545",37.6535320,-122.1268599
4,J&D Recycling LLC,1015 N Amphlett Blvd,San Mateo,94401,06081,(650) 685-1901,"1015 N Amphlett Blvd San Mateo, CA 94401",37.5856084,-122.3313224
5,Jado Recycling,39200 Paseo Padre Pkwy,Fremont,94538,06001,(855) 857-8020,"39200 Paseo Padre Pkwy Fremont, CA 94538",37.5538510,-121.9788878
6,JADO Recycling,46 Fifth Ave,Redwood City,94063,06081,(855) 857-8020,"46 Fifth Ave Redwood City, CA 94063",37.4674758,-122.2077736
7,Jado Recycling,523 S Shore Center W,Alameda,94501,06001,(855) 857-8020,"523 S Shore Center W Alameda, CA 94501",37.7595885,-122.2535532
8,National Recycling Corp,1312 Kirkham St,Oakland,94607,06001,(510) 268-1022,"1312 Kirkham St Oakland, CA 94607",37.8098269,-122.2898306
9,Olyns,810 Laurel St,San Carlos,94070,06081,(866) 472-6432,"810 Laurel St San Carlos, CA 94070",37.5032076,-122.2578981
10,Olyns,24601 Mission Blvd,Hayward,94544,06001,(866) 472-6432,"24601 Mission Blvd Hayward, CA 94544",37.6625195,-122.0763765
11,Refund Recycle Center LLC,2680 Old First St,Livermore,94550,06001,(925) 606-1435,"2680 Old First St Livermore, CA 94550",37.6854672,-121.7649161
12,"Sanchez Cash For Cans, LLC",1468 44Th Ave,Oakland,94601,06001,(510) 261-2966,"1468 44Th Ave Oakland, CA 94601",37.7728610,-122.2129722
13,Sunset Recycling Center,10790 Macarthur Blvd,Oakland,94605,06001,(818) 661-7387,"10790 Macarthur Blvd Oakland, CA 94605",37.7434141,-122.1486960
14,The Buy Back,669 Gilman St,Berkeley,94710,06001,(510) 524-0113,"669 Gilman St Berkeley, CA 94710",37.8789959,-122.3051109
15,Tri Ced Community Recycling,33377 Western Ave,Union City,94587,06001,(510) 471-3850,"33377 Western Ave Union City, CA 94587",37.5962513,-122.0341669
16,South Tahoe Refuse Company Inc,2192 Ruth Ave,South Lake Tahoe,96150,06017,(530) 541-7526,"2192 Ruth Ave South Lake Tahoe, CA 96150",38.9192892,-120.0001283
17,Cameron Park Buy Back Center,3350 Saratoga Ln,Cameron Park,95682,06017,(530) 626-4141,"3350 Saratoga Ln Cameron Park, CA 95682",38.6535998,-120.9666891
18,El Dorado Disposal Service,580 Truck St,Placerville,95667,06017,(530) 626-4141,"580 Truck St Placerville, CA 95667",38.7026777,-120.8133953
19,M & R Recycling LLC,12351 Martell Rd,Jackson,95642,06005,(209) 365-3299,"12351 Martell Rd Jackson, CA 95642",38.3664215,-120.7977131
20,M & R Recycling LLC,313 Preston Ave,Ione,95640,06005,,"313 Preston Ave Ione, CA 95640",38.3526510,-120.9360057
21,Valley Recycling Inc,19394 State Hwy 88,Pine Grove,95665,06005,(209) 772-9340,"19394 State Hwy 88 Pine Grove, CA 95665",38.4124671,-120.6668580
22,Crown Metals LLC,4801 Feather River Blvd Unit 18,Oroville,95965,06007,(530) 533-7718,"4801 Feather River Blvd Unit 18 Oroville, CA 95965",39.4729293,-121.5715694
23,Empire Steel Inc,1508 Parker Ave,Oroville,95965,06007,(530) 673-7180,"1508 Parker Ave Oroville, CA 95965",39.4987571,-121.5544609
24,Guido's Recycling LLC,1364 Highway 99,Gridley,95948,06007,(530) 370-4541,"1364 Highway 99 Gridley, CA 95948",39.3546600,-121.6875202
25,Guido's Recycling LLC,920 American Way,Paradise,95969,06007,(530) 370-4541,"920 American Way Paradise, CA 95969",39.7364355,-121.6102825
26,IRecycle,434 Plumas Ave,Oroville,95965,06007,(661) 549-2158,"434 Plumas Ave Oroville, CA 95965",39.5199315,-121.5746944
27,North San Juan Transfer Station,10125 Flume St,North San Juan,95960,06057,(530) 292-4340,"10125 Flume St North San Juan, CA 95960",39.3715029,-121.1066814
28,Savior Earth Recycling,2680 S 5Th Ave Ste C,Oroville,95965,06007,(530) 519-0086,"2680 S 5Th Ave Ste C Oroville, CA 95965",39.4933096,-121.5660967
29,Cal Sierra Recycling,14959 Camage Ave,Sonora,95370,06109,(209) 533-0445,"14959 Camage Ave Sonora, CA 95370",37.9625799,-120.3206471
30,Sonora Recycling,18647 Eagle Ridge Dr,Sonora,95370,06109,(209) 536-4214,"18647 Eagle Ridge Dr Sonora, CA 95370",37.9608780,-120.3263552
31,Valley Springs Recycling,494 N Main St,Angels Camp,95222,06009,(209) 772-9340,"494 N Main St Angels Camp, CA 95222",38.0864348,-120.5669888
32,Valley Springs Recycling,148 Main St,Valley Springs,95252,06009,(209) 772-9340,"148 Main St Valley Springs, CA 95252",38.1909889,-120.8245674
33,Rodriguez Recycling,1112 Main St,Colusa,95932,06011,(530) 988-6244,"1112 Main St Colusa, CA 95932",39.2166199,-122.0165039
34,American Iron & Metals,1050 Brookside Dr,Richmond,94801,06013,(510) 233-0440,"1050 Brookside Dr Richmond, CA 94801",37.9631306,-122.3580499
35,BottleBank,250 13Th St,San Francisco,94103,06075,(833) 732-6885,"250 13Th St San Francisco, CA 94103",37.7701080,-122.4182174
36,Bottlebank,2020 Market St.,San Francisco,94114,06075,(833) 732-6885,"2020 Market St. San Francisco, CA 94114",37.7688487,-122.4279242
37,Bottlebank,1245 S Van Ness Ave,San Francisco,94110,06075,(833) 732-6885,"1245 S Van Ness Ave San Francisco, CA 94110",37.7530915,-122.4159773
38,Bottlebank,145 Jackson St,San Francisco,94111,06075,(833) 732-6885,"145 Jackson St San Francisco, CA 94111",37.7969160,-122.3986313
39,Bottlebank,3350 Mission St,San Francisco,94110,06075,(833) 732-6885,"3350 Mission St San Francisco, CA 94110",37.7432206,-122.4224290
40,Bottlebank,1765 California St,San Francisco,94109,06075,(833) 732-6885,"1765 California St San Francisco, CA 94109",37.7899512,-122.4231006
41,Delta Scrap and Salvage Inc,1371 Main St,Oakley,94561,06013,(925) 754-1474,"1371 Main St Oakley, CA 94561",38.0044283,-121.7433948
